GEOID,VALUE_0,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95
17009,0,8062200,0,12540600,16881300,3638700,686700,373500,293748288,238500,35999100,666000,705600,96896704,309088800,10811700,5616000
17187,0,2913300,0,30952800,33996600,8435700,1535400,658800,106781400,99900,11594700,495900,444600,87216304,1117530880,1370700,32400
17071,0,50999400,0,18269100,22934700,5068800,634500,1619100,122404496,7215300,8415900,546300,1068300,62764200,674960384,39362400,7278300
26139,0,40139100,0,126009000,142233296,60128100,23856300,14284800,181589408,30294900,33080400,4261500,18126000,16615800,639380672,148129200,17757900
29129,0,6402600,0,30580200,10386900,1269900,283500,1290600,253918800,8370900,59942700,2247300,7345800,565012800,207278096,13554900,1944900
48147,0,33584400,0,90192600,15529500,4807800,1953000,5775300,370530912,29910600,94730400,52402500,831846592,410207392,386752512,17553600,6131700
51139,0,8291700,0,39480300,16850700,2564100,700200,96300,347863488,28810800,159642896,2044800,3630600,174416400,20263500,30600,50400
55105,0,17083800,0,90054000,92239200,23615100,12387600,4252500,147264304,4050000,17539200,4579200,8452800,131277600,1238180352,40689900,46242900
05101,0,1799100,0,78769800,4966200,477900,78300,358200,1671074944,63789300,59676300,16941600,26724600,191751296,900,689400,151200
08087,0,31433400,0,68604304,19359900,7061400,2306700,3008700,1810800,208800,252000,24020100,2072080768,34722900,1035786624,31024800,33621300
13243,0,5571900,0,31467600,3388500,693900,228600,410400,71203504,348495296,124179296,82017904,64013400,5020200,263137504,92416496,2034900
37195,0,14624100,0,59653800,38891700,13467600,4316400,1942200,16017300,105946200,29794500,11406600,19352700,14918400,383212800,233783104,6095700
19021,0,16451100,0,56080800,18024300,5166000,1595700,1420200,1679400,313200,12740400,318600,8449200,61894800,1303995648,4194900,11260800
21119,0,2638800,0,24851700,10710000,3837600,745200,36006300,724973376,761400,56186100,20923200,47378700,4879800,5400,0,0
22093,0,30821400,0,14993100,39523500,6219900,4417200,2109600,678600,436500,459900,958500,2096100,21656700,150192000,354256192,34325100
18179,0,3088800,0,43200000,15246900,4047300,2048400,395100,58657500,1189800,516600,148500,3875400,12296700,806349568,6514200,1944900
20165,0,4149000,0,64743300,10400400,900900,225900,198900,5584500,0,45000,367200,615852032,58509000,1091795456,5363100,1201500
34013,0,7149600,0,92582096,70697696,72945000,42336900,178200,27456300,55800,2915100,243000,390600,668700,74700,28784700,349200
51036,0,65172600,0,13617000,1437300,320400,72000,2309400,29457000,112730400,92346304,22497300,11544300,1864800,82942200,94848304,12486600
45063,0,151758896,0,187236896,145178096,56192400,17620200,13764600,92271600,439096512,148663808,134579696,125021696,185407200,114637504,150741904,4959000
47145,0,84863696,0,63855900,40121100,15093000,6012900,1434600,510331488,19707300,49332600,9980100,18009900,176887808,795600,8643600,553500
45011,0,18814500,0,53838900,20144700,5323500,2245500,1064700,97118096,463044608,7455600,112430704,109026896,30465000,189266400,304363808,9133200
55047,0,71215200,0,29878200,17237700,2538900,852300,1808100,57170700,7325100,33856200,684900,1002600,59277600,454417216,69798600,191331008
49013,0,38952000,9900,126126000,25142400,3102300,573300,381597312,299377792,2984638464,48467700,3506394624,385619392,412455616,97204496,50543100,27884700
45023,0,19195200,0,59520600,23505300,5012100,2061900,1977300,188091904,575091904,282017696,65205000,69890400,186479104,13232700,28421100,756000
28009,0,8773200,0,33967800,7757100,1175400,178200,269100,344948416,168344992,129392096,40284000,17512200,163633504,78717600,54310500,3316500
21065,0,3785400,0,20700000,11236500,2430900,692100,1034100,402867008,2572200,81875696,8060400,6560100,95054400,7175700,590400,153900
13129,0,10320300,0,76061696,25743600,10582200,6015600,784800,242919008,132772496,96650096,28501200,43281000,246343504,30451500,5230800,4636800
31127,0,10505700,0,35710200,8177400,1258200,503100,1229400,77473800,496800,151200,268200,59958900,70655400,742947328,15723900,10405800
05009,0,30379500,0,62414100,20586600,6181200,2109600,4404600,637964096,64970100,61135200,16752600,34870500,627665408,11700,1019700,93600
12009,0,786431680,0,298820704,246277792,118704600,31347900,12339000,2651400,137533504,13964400,28253700,29787300,283275008,53650800,896097600,425321984
12015,0,314879392,0,205410592,127392304,41409900,8702100,3694500,4827600,42074100,20065500,86024704,11672100,326333696,72188096,612373504,242946896
20119,0,4045500,0,64747800,4601700,669600,171000,607500,7150500,0,360000,33451200,1196567040,126813600,1083659392,4921200,16652700
20125,0,28177200,0,63008100,37136700,10207800,3623400,3564900,287211584,1603800,26261100,6388200,117114304,718508672,373911296,5040000,2016900
26149,0,41594400,0,51809400,55103400,9629100,4678200,903600,149139904,4537800,8856000,286200,2734200,12535200,817326016,176007600,13525200
41027,0,34328700,6713100,20114100,11148300,5033700,1754100,30107700,8366400,911206784,20999700,166835696,33365700,9947700,81470704,4226400,353700
54073,0,9693000,0,16634700,4478400,2060100,679500,406800,234941408,1646100,39978900,2956500,4537800,20840400,995400,129600,98100
12067,0,6189300,0,76544096,15072300,1231200,172800,2055600,14135400,331982112,5890500,90831600,96591600,91693800,41829300,621631808,33802200
17081,0,51465600,0,68598000,40212000,9595800,3317400,1364400,256192192,939600,160378208,844200,9617400,288749696,575255680,39954600,2214000
18137,0,7682400,0,51350400,11903400,3538800,1562400,1022400,474416992,2734200,40219200,4293900,6511500,128403000,415548000,12084300,403200
20205,0,7657200,0,43983000,21330000,3097800,704700,1945800,226369792,709200,22586400,6845400,179212496,478717184,486793792,4633200,3111300
20171,0,3101400,0,51656400,4995000,1311300,366300,2277000,443700,0,18000,27900,258623104,42340500,1491901184,743400,1456200
21215,0,11362500,0,23466600,3434400,1066500,391500,766800,158993104,10430100,60885900,1779300,4059000,155675696,46578600,148500,540900
